# YTID, start_seconds, end_seconds,all_labels,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,animal_sound,only_animal
#NAME?,0.0,10.0," ""/m/03fwl,/m/04rlf,/m/09x0r""",/m/03fwl,/m/04rlf,/m/09x0r,,,,,,,,,,True,False
-11LhdJgBb8,30.0,40.0," ""/m/04rlf,/m/07qn4z3""",/m/04rlf,/m/07qn4z3,,,,,,,,,,,True,False
-3IYpJfLVJk,30.0,40.0," ""/m/03k3r,/m/07q5rw0,/m/0jbk""",/m/03k3r,/m/07q5rw0,/m/0jbk,,,,,,,,,,True,False
-64xnyOswXA,120.0,130.0," ""/m/0cdnk""",/m/0cdnk,,,,,,,,,,,,True,False
-6x2PtSRfJU,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/09x0r,,,,,,,,,True,False
-7ye24UFRng,0.0,10.0," ""/m/032n05,/m/04rlf""",/m/032n05,/m/04rlf,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/07bgp,/m/07q0h5t,/m/09x0r""",/m/07bgp,/m/07q0h5t,/m/09x0r,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk""",/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/t/dd00018""",/t/dd00018,,,,,,,,,,,,True,False
-Fby-7z_JpE,0.0,8.0," ""/m/07q5rw0""",/m/07q5rw0,,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/09x0r,/t/dd00136""",/m/09x0r,/t/dd00136,,,,,,,,,,,True,False
#NAME?,60.0,70.0," ""/m/01h3n,/m/03vt0,/m/0h2mp""",/m/01h3n,/m/03vt0,/m/0h2mp,,,,,,,,,,True,False
#NAME?,4.0,14.0," ""/m/04rmv""",/m/04rmv,,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk""",/m/01yrx,/m/02yds9,/m/04rlf,/m/068hy,/m/0jbk,,,,,,,,True,False
#NAME?,0.0,6.0," ""/m/07st88b,/m/09ld4""",/m/07st88b,/m/09ld4,,,,,,,,,,,True,False
#NAME?,50.0,60.0," ""/m/0ghcn6""",/m/0ghcn6,,,,,,,,,,,,True,False
#NAME?,15.0,25.0," ""/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""",/m/068hy,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136""",/m/04rlf,/m/068hy,/m/07r_k2n,/m/0bt9lr,/m/0jbk,/t/dd00136,,,,,,,True,False
#NAME?,40.0,50.0," ""/m/05_wcq""",/m/05_wcq,,,,,,,,,,,,True,False
#NAME?,9.0,19.0," ""/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136""",/m/068hy,/m/07rc7d9,/m/09x0r,/m/0bt9lr,/m/0jbk,/t/dd00136,,,,,,,True,False
#NAME?,270.0,280.0," ""/m/03vt0,/m/09f96,/m/0h2mp""",/m/03vt0,/m/09f96,/m/0h2mp,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/09x0r,/t/dd00018""",/m/09x0r,/t/dd00018,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/025rv6n,/m/07qwf61,/m/0dbvp""",/m/025rv6n,/m/07qwf61,/m/0dbvp,,,,,,,,,,True,False
#NAME?,20.0,30.0," ""/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t""",/m/015p6,/m/020bb7,/m/025rv6n,/m/07qn5dc,/m/07st89h,/m/09b5t,,,,,,,True,False
#NAME?,25.0,35.0," ""/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk""",/m/01yrx,/m/04rlf,/m/068hy,/m/07r81j2,/m/09x0r,/m/0jbk,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/04rlf,/m/07qn4z3""",/m/04rlf,/m/07qn4z3,,,,,,,,,,,True,False
#NAME?,12.0,22.0," ""/m/07sx8x_""",/m/07sx8x_,,,,,,,,,,,,True,False
#NAME?,340.0,350.0," ""/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk""",/m/068zj,/m/09x0r,/m/0ch8v,/m/0jbk,,,,,,,,,True,False
#NAME?,40.0,50.0," ""/m/078jl,/m/07rjwbb""",/m/078jl,/m/07rjwbb,,,,,,,,,,,True,False
#NAME?,20.0,30.0," ""/m/078jl,/m/07rjwbb""",/m/078jl,/m/07rjwbb,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk""",/m/04rlf,/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/0bt9lr,/m/0jbk,,,,,,,True,False
#NAME?,9.0,19.0," ""/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk""",/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk,,,,,,,,,True,False
#NAME?,90.0,100.0," ""/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv""",/m/015p6,/m/020bb7,/m/07r_25d,/m/0h0rv,,,,,,,,,True,False
#NAME?,0.0,5.0," ""/m/01yrx,/m/02yds9,/m/0jbk""",/m/01yrx,/m/02yds9,/m/0jbk,,,,,,,,,,True,False
#NAME?,1.0,11.0," ""/m/01yrx,/m/068hy,/m/07r81j2""",/m/01yrx,/m/068hy,/m/07r81j2,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk""",/m/068hy,/m/07qf0zm,/m/07r_k2n,/m/07rc7d9,/m/0bt9lr,/m/0jbk,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/0bt9lr,/m/0ghcn6,/m/0jbk""",/m/0bt9lr,/m/0ghcn6,/m/0jbk,,,,,,,,,,True,False
#NAME?,90.0,100.0," ""/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp""",/m/01h3n,/m/03vt0,/m/09f96,/m/09xqv,/m/0h2mp,,,,,,,,True,False
-r1H8hBeYmw,21.0,31.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/0jbk,,,,,,,,True,False
#NAME?,20.0,30.0," ""/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6""",/m/01z5f,/m/068hy,/m/09x0r,/m/0bt9lr,/m/0ghcn6,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/04rlf,/m/07qn4z3""",/m/04rlf,/m/07qn4z3,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk""",/m/01yrx,/m/068hy,/m/07r81j2,/m/0jbk,,,,,,,,,True,False
#NAME?,50.0,60.0," ""/m/03cczk,/m/068hy""",/m/03cczk,/m/068hy,,,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk,,,,,,,,,True,False
#NAME?,30.0,40.0," ""/m/04rlf,/m/07pjwq1""",/m/04rlf,/m/07pjwq1,,,,,,,,,,,True,False
0-3jSTs2Zsw,30.0,40.0," ""/m/04rlf,/m/07q0h5t,/m/09x0r""",/m/04rlf,/m/07q0h5t,/m/09x0r,,,,,,,,,,True,False
00mE-lhe_R8,16.0,26.0," ""/m/07qdb04""",/m/07qdb04,,,,,,,,,,,,True,False
02q5C77_xeQ,250.0,260.0," ""/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk""",/m/068hy,/m/07pbtc8,/m/09x0r,/m/0bt9lr,/m/0jbk,,,,,,,,True,False
046ynbCwM90,30.0,40.0," ""/m/04rlf,/m/04s8yn,/m/07r5c2p""",/m/04rlf,/m/04s8yn,/m/07r5c2p,,,,,,,,,,True,False
06OT6nqAuLM,50.0,60.0," ""/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125""",/m/03p19w,/m/068hy,/m/0bt9lr,/m/0jbk,/t/dd00125,,,,,,,,True,False
07vCFDpflcQ,80.0,90.0," ""/m/015p6,/m/09ddx""",/m/015p6,/m/09ddx,,,,,,,,,,,True,False
09TC9Yj7SHM,30.0,40.0," ""/m/07st88b,/m/09ld4""",/m/07st88b,/m/09ld4,,,,,,,,,,,True,False
0GmmPp502DA,30.0,40.0," ""/m/03vt0,/m/09f96,/m/0h2mp""",/m/03vt0,/m/09f96,/m/0h2mp,,,,,,,,,,True,False
0HVlzmjFe7k,20.0,30.0," ""/m/04cvmfc,/m/0cdnk,/t/dd00129""",/m/04cvmfc,/m/0cdnk,/t/dd00129,,,,,,,,,,True,False
0JDlM0Wolms,0.0,10.0," ""/m/07pyy8b,/m/0jbk""",/m/07pyy8b,/m/0jbk,,,,,,,,,,,True,False
0K7573uICwg,21.0,31.0," ""/m/04rlf,/m/07q0h5t""",/m/04rlf,/m/07q0h5t,,,,,,,,,,,True,False
0Kwzah-Rf70,40.0,50.0," ""/m/07qdb04""",/m/07qdb04,,,,,,,,,,,,True,False
0L7-8yqgMEo,130.0,140.0," ""/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk""",/m/01280g,/m/09x0r,/m/0cdnk,/m/0jbk,,,,,,,,,True,False
0NyrNJAXrIo,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/0jbk,,,,,,,,,True,False
0RjFykTxCvc,30.0,40.0," ""/m/025rv6n,/m/07qwf61,/m/0dbvp""",/m/025rv6n,/m/07qwf61,/m/0dbvp,,,,,,,,,,True,False
0SEHGxAQL18,30.0,40.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk,,,,,,,True,False
0TPOLU68O9s,8.0,18.0," ""/m/04rlf,/m/07rv9rh,/m/09x0r""",/m/04rlf,/m/07rv9rh,/m/09x0r,,,,,,,,,,True,False
0TUudXf0l54,30.0,40.0," ""/m/07pggtn,/m/07qmpdm""",/m/07pggtn,/m/07qmpdm,,,,,,,,,,,True,False
0X6CXKUbX6g,30.0,40.0," ""/m/07qdb04,/m/09ddx,/m/09x0r,/m/0jbk""",/m/07qdb04,/m/09ddx,/m/09x0r,/m/0jbk,,,,,,,,,True,False
0XRuJ6NW9yM,30.0,40.0," ""/m/04rlf,/m/07qdb04""",/m/04rlf,/m/07qdb04,,,,,,,,,,,True,False
0YHK15saav8,580.0,590.0," ""/m/03fwl,/m/0jbk""",/m/03fwl,/m/0jbk,,,,,,,,,,,True,False
0_R83lyXiaU,30.0,40.0," ""/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp""",/m/01h3n,/m/03l9g,/m/03vt0,/m/0h2mp,,,,,,,,,True,False
0_utuoBWKmo,17.0,27.0," ""/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk""",/m/01yrx,/m/068hy,/m/07qrkrw,/m/07r81j2,/m/09x0r,/m/0jbk,,,,,,,True,False
0a3sS0cfsQk,370.0,380.0," ""/m/05_wcq""",/m/05_wcq,,,,,,,,,,,,True,False
0aJ4ncKJqIg,280.0,290.0," ""/m/03vt0,/m/09xqv""",/m/03vt0,/m/09xqv,,,,,,,,,,,True,False
0aKuES6SO2k,50.0,60.0," ""/m/015p6,/m/020bb7,/m/07pggtn""",/m/015p6,/m/020bb7,/m/07pggtn,,,,,,,,,,True,False
0abfTrxjX-4,30.0,40.0," ""/m/04rlf,/m/07qrkrw""",/m/04rlf,/m/07qrkrw,,,,,,,,,,,True,False
0aer7MFIYQk,50.0,60.0," ""/m/01xq0k1,/m/07rpkh9,/m/0ch8v""",/m/01xq0k1,/m/07rpkh9,/m/0ch8v,,,,,,,,,,True,False
0ccK49fwj1o,90.0,100.0," ""/m/01rd7k,/m/025rv6n,/m/07svc2k""",/m/01rd7k,/m/025rv6n,/m/07svc2k,,,,,,,,,,True,False
